title,price,rating,reviews,availability
Skechers men's Summits High Range Hands Free Slip-in Sneaker,,4.6 out of 5 stars,"4,999 ratings",Not Available
"Bruno Marc Men's Bertram Non Slip Work Shoes, Waterproof Lightweight Work Shoes & Restaurant or Food Service Sneakers",,4.2 out of 5 stars,60 ratings,Not Available
Bruno Marc Men's Arch Support Casual Slip-on Shoes Loafers for Men Non Slip Comfortable Shoes,,4.5 out of 5 stars,575 ratings,Not Available
Bruno Marc Men's Casual Dress Oxfords Shoes Business Formal Derby Sneakers,,4.5 out of 5 stars,"1,278 ratings",Not Available
Columbia men's Crestwood Hiking Shoe,,4.6 out of 5 stars,"6,766 ratings",Not Available
WHITIN Men's Wide Toe Box + Zero Drop Sole Road Running Shoes | Rubber Outsole,,4.4 out of 5 stars,382 ratings,Not Available
The Drop Women's Listilla Espadrille Wedge Sandal,,4.4 out of 5 stars,"3,081 ratings",In Stock
"OLUKAI Nohea Moku Men's Shoes, All Day Sneakers, No Tie Laces & Stretch Construction, Breathable Mesh & All Weather Rubber Soles",,4.6 out of 5 stars,"3,173 ratings",Only 5 left in stock - order soon.
"Isotoner Men's Microsuede Moccasin Slippers - Men’s Indoor and Outdoor Sole Slippers, Features Memory Foam for a Customer Fit and Arch Support for All-Day Comfort, Machine Washable",,4.1 out of 5 stars,"11,275 ratings",In Stock
Arkbird Men's Leather Sandals Athletic Fisherman Sandal Outdoor Comfortable and Stylish Casual Summer Slip On Shoes for Men,,4.6 out of 5 stars,136 ratings,In Stock
"Men's House Slippers, Cozy Non-slip Home Shoes, Warm Comfy Indoor Outdoor Moccasin Slip Ons, Unique Christmas Gifts",,4.4 out of 5 stars,161 ratings,In Stock
"Professional Shoe Lift for Uneven Legs, Shoe balancer, Shoe Leveler for Walking Boot, Even Up for Men & Women",,3.5 out of 5 stars,97 ratings,In Stock
"ELITE Men's Peak Bowling Shoes - 40% Lighter, Breathable Knitted Uppers, Universal Soles, 1-Year Warranty",,4.2 out of 5 stars,38 ratings,
Men's Diabetic Elderly Shoes Large Size Plus Fertilizer Widening Shoes Adjustable Foot Swelling Shoes Non-Slip Double Insole Air Cushion Bottom Walking Shoes,,4.3 out of 5 stars,776 ratings,In Stock
